Run_Order,Location,Date,Li7,Be9,Mg24,Al27,Si29,P31,Ca43,Ca44,Ti47,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,Zn66,As75,Se78,Rb85,Sr88,Mo95,Cd111,Sb121,Cs133,Ba137,Ba138,Hg202,Pb208,Bi209,Th232,U238,S34,Br79,Sn118
223,Northern,29-Nov-11,-0.048296321,0.001513923,-134.0949148,-9.7550578,-3465.921045,0.251802905,-108.0586256,-99.4760213,0.887012348,0.010024796,0.012576528,0.042363069,2.531501164,0.012098323,0.046173592,18.45944026,0.751137188,-6.044687263,0.008382405,0.040324834,0.060095368,0.039945639,0.011771287,0.005648454,0.108151921,-0.000819529,0.578565869,0.581856618,0.00713155,-0.408770876,-0.027830491,0.000712067,-0.001740161,115.0244352,0.050421355,0.01394465
224,Northern,5-Dec-11,-0.037262229,-0.000124563,-134.0214176,56.53144611,-4252.466307,1.28659198,-77.4930342,-66.6239008,2.076086822,0.15887702,0.258635298,0.359215383,34.98508181,0.013122875,0.186195029,64.37260217,0.941021001,0.963250157,0.160217388,0.085786155,0.026139333,0.229062193,0.048830898,0.006638066,0.739014576,0.010492493,3.019413015,2.940061858,0.010162621,-1.491321112,-0.009962172,0.005826052,0.00042435,57.18017194,0.507410992,0.098338246
225,Northern,11-Dec-11,-0.069152161,0.001679209,-108.6499838,58.33735038,-3683.048681,1.039663939,26.6972832,87.0380869,1.342469973,0.023578375,0.095047629,0.367728912,9.277346907,0.009369988,0.064057093,188.8561808,2.172520056,2.382251955,0.149464017,0.191925716,0.01347321,0.106623192,0.03161428,0.019495998,0.385093577,-0.000824058,0.517821219,2.067479707,0.044680451,-0.676581032,-0.013788994,0.004903942,0.000625894,260.9606888,0.359160222,0.064753645
226,Northern,17-Dec-11,-0.01949409,0.000594071,-98.60364134,39.66762887,-3232.52122,0.302998131,32.20808,17.7228191,0.235324464,-0.01067732,0.069077185,-0.018167838,-1.542318488,0.005675144,-0.024214177,103.187334,0.347644913,0.396661659,0.012958647,0.156662836,0.011207971,0.024302006,0.006096406,0.003383131,0.036293276,-0.000669908,0.136479342,0.460981185,0.026050836,-4.212645837,-0.024882909,0.002265012,-0.000881014,110.9654587,0.160065119,0.008676342
227,Northern,23-Dec-11,-0.038248131,0.000960574,-109.4728259,6.91971104,-3559.880349,0.325822746,-94.9965748,-74.4497965,0.708656904,-0.011482884,0.022884107,0.03206178,9.26840013,0.006869912,0.011341676,16.44642956,0.233527761,0.451061428,-0.8097795,0.079534797,-0.011285003,-0.078159149,0.016022996,0.004940247,0.195547272,-0.000422416,0.883634744,1.425178841,0.010731755,-0.521549618,-0.02568523,0.000932507,-0.001811473,36.99012607,0.114607889,0.029323943
228,Northern,29-Dec-11,0.005994932,0.002944005,-5.86560968,106.3403081,-1235.099355,1.115270094,214.8584419,203.1999063,2.570497931,0.055527688,0.174448013,1.300684125,49.56377808,0.013080484,0.08221584,37.72369727,2.462609841,2.494778423,0.295534033,0.141104313,0.082831178,0.434310695,0.063322665,0.055018877,0.604329237,0.003862368,2.672459511,2.786939321,0.010632568,-1.976240342,-0.017691925,0.013436414,0.004183481,52.00450939,0.441386349,0.098917756
230,Southern,29-Nov-11,-0.006062336,0.001140233,-19.05749753,36.02197818,-941.804182,0.126179058,95.9269935,101.1244209,0.899160154,0.012197592,0.050929077,0.362617318,4.727106112,0.007880442,-0.001342299,9.777221519,1.233636857,1.241765335,0.023938442,0.061727896,0.008259946,0.065530691,0.003089889,0.001856501,0.061845492,0.000902209,0.442879958,0.891602949,0.013203518,-2.449501387,-0.026332331,0.000959467,-3.64E-06,19.19795906,0.129319465,0.011676537
231,Southern,5-Dec-11,-0.041121505,0.000594071,-141.8271536,28.2000452,-4407.7144,0.067875926,92.5496022,41.062987,0.778719504,0.54934445,0.079815325,0.96211818,83.0977266,0.013402002,0.464733471,11.52248981,2.017662468,2.128998504,0.046747122,0.065678084,-0.023273284,0.110945084,0.032762298,-0.001752537,0.103201853,0.028164224,0.371296279,0.541044511,0.01037476,-2.30887431,-0.021015895,0.002547125,-0.000732437,68.07310952,0.245980858,0.073822658
232,Southern,11-Dec-11,0.041366273,0.004582491,-63.56167719,68.51903097,-3383.597879,0.778312646,311.6826008,284.8271756,1.400162233,0.687554663,0.321418522,2.487319414,46.10860326,0.014497314,0.455412785,13.16216617,13.49723354,14.84147073,0.118854322,0.158392596,0.04050315,0.407463672,0.032499718,0.041098636,0.285726206,0.002504662,0.637320773,0.844597106,0.022939043,-1.030408694,0.021224551,0.005870986,0.002018242,272.4760291,0.542304949,-0.031869096
234,Middle,29-Nov-11,-0.041687607,0.000967761,-116.6439035,4.43619376,-4355.2859,0.23201059,-118.8430406,-91.2230833,0.474356757,-0.010413522,-0.008763031,0.068378812,0.009265795,0.006811217,-0.010968396,10.55553535,0.558430301,0.292900042,0.007650065,0.10544393,-0.015028579,-0.11605749,0.008225256,0.006616961,0.108796429,-0.001803183,0.109227217,0.362864137,0.013691958,-2.480432116,-0.026083677,0.000829071,-0.002044118,10.12426433,0.267479045,0.013164602
235,Middle,5-Dec-11,-0.034235565,0.002038526,-87.71836158,59.22218902,-3561.914794,0.773669627,14.9353077,2.4686531,1.667593949,0.059428669,0.137574591,0.358882572,39.86305157,0.010199543,0.103194924,11.5822214,1.407589252,1.302694313,0.050465429,0.08531412,-0.030208957,0.258456502,0.033152382,0.00743773,0.578185559,-0.000477185,2.82101862,2.576544183,0.010622325,-1.456223232,-0.019456409,0.007827981,0.00073754,53.71153654,0.471603002,0.055135244
236,Middle,11-Dec-11,-0.037549706,0.002419402,-81.77660403,28.00848251,-3662.850082,0.470622686,43.5441756,58.2357626,0.544978968,0.040915204,0.192467117,0.636624352,11.47760534,0.008915429,0.103036563,14.99877373,0.971889186,1.12034781,0.084865957,0.186649483,-0.010828371,0.113543601,0.036698182,0.024959974,0.321555625,-0.001577516,0.832054034,1.090013549,0.0105562,1.682763277,-0.007780762,0.002875405,-0.000453263,208.6186841,0.39953168,0.060549411
237,Middle,17-Dec-11,-0.055602993,0.001319892,-151.3754857,15.83354226,-5458.194136,0.400532023,-198.9136561,-185.9447848,1.253979493,0.003996222,0.058539716,0.44027505,36.26156017,0.009726723,0.031084035,15.18128626,0.769237345,0.834206208,0.21196058,0.029595354,-0.023918686,-0.066298185,0.040739432,0.003988155,0.406622702,-0.002236122,1.519529994,2.063778733,0.015801999,-1.232047408,-0.023218787,0.042202624,0.002072181,13.26388637,0.303678763,0.039630554
238,Middle,23-Dec-11,-0.037163918,0.001686395,-97.39999929,10.16524115,-3378.209802,0.325834948,-56.5039296,-74.2907861,0.577472384,-0.002969814,0.027223356,0.149915652,8.238871907,0.006814478,0.013932012,14.71096385,0.347844462,0.445827759,0.014127914,0.071603366,-0.025540995,-0.148183907,0.015578385,0.003235393,0.245683615,-0.001493234,0.29775617,0.539373639,0.010934439,-2.316680205,-0.025075318,0.001584662,-0.001104426,6.866065155,0.432420122,0.024424132
239,Middle,29-Dec-11,-0.063455733,0.001319892,-178.3218199,45.61109194,-5688.347265,0.863143825,-88.6748836,-84.0930569,1.549408105,0.025504577,0.292022325,1.548692295,100.6963616,0.016313921,0.266352173,53.20626792,5.250671368,5.222117727,0.185760846,0.09704357,0.005250441,0.154946407,0.098122297,0.039766645,1.064608616,-0.000853159,4.059399887,5.156579182,0.019615113,-0.843120774,-0.007164729,0.007589745,0.000337487,65.44431061,1.084128887,0.185334728
